Name,RA (1950),Dec m_zw,v_h,sig sour,Type,D1,D1,BT,UGC,FLWO#,Notes and Other Names
,,,,,,,,,,,
00006+2142,36,21420014.4,6605,3212700,5P,1,0.7,,6,,"Sy2,MK334,IVZw1"
00006-0211,36,-2110014.3,7323,3112700,4X,1.3,0.8,,5,T02072,
N7814,41.1,15520312,1050,410611,2A s,6.5,2.7,11.35,8,,
00010+2256,100,22560014,7301,3412700,5,1.9,1,,14,T03645,
N7816,112,7110014,5241,510620,4,2,2,,16,T16711,
N7817,124.9,20281812.7,2309,512812,4A,4,1.1,,19,T07876,
N7819,148,31120014.3,4953,101 0,3B s,2,1.8,,26,T17097,
N7820,200,4550013.9,3064,1912700,0,1.6,0.7,,28,T00840,
N7824,236,6380014.5,6134,2812712,2,1.9,1.3,,34,T03778,
0003+1955,345.1,19552714,7730,2612700,-6,0.3,0.3,14.1,,,"Sy1,MK335"
N   1,442,27260013.4,4534,610611,3A s,1.8,1.2,,57,,KDG2A
00056+2644,536,26440014.4,8741,3612700,3,1,0.55,,68,T03630,
N  12,612,4200014.5,3940,2010400,4B R,2,1.7,,74,T02151,
N  14,612,15321313.3,862,510912,10B P,3,2.5,,75,T03697,"VV80,Arp235"
N   9,620.1,23322414.5,4500,3512700,7P,1.3,0.7,,78,T03698,
N  16,630,27270012.5,3041,2312700,-3X,1.8,1,12.95,80,T02562,
N  23,718.6,25384212.5,4566,1510613,1B s,2.2,1.6,12.8,89,,MK545
N  26,754,25330013.9,4589,710611,2A T,2,1.1,,94,,
N  27,754,28440014.5,7037,2412700,5,1.5,0.6,,96,T04008,KDG3B
N  36,848,6060014.5,6066,2112700,3X T,2.7,1.5,,106,T17135,
N  39,942,30470014.4,4860,2812700,5A,1.2,1.1,,114,T17198,
N  43,1024,30390013.9,4785,2212700,-2,1.4,1.3,,120,S03562,
00104+1408,1028.3,14075814.2,2025,412812,16  P,1,0.6,,119,T02100,
I   4,1048,17130014.2,4992,3512700,5,1,1,,123,T02084,
00113+3037,1118,30370014.2,4735,3012700,-6,0.45,0.35,,130,T03599,
N  57,1254,17030013.7,5458,2212700,-7,2.6,2.1,,145,T00558,
00132+1548,1316.3,15484514,4205,712812,5,1.5,0.4,,148,T00759,
N  63,1506,11100012.6,1168,612812,-5  P,1.7,1.1,,167,T07875,
N  68,1542,29473614.5,5802,2912700,-3A,1.2,1.1,13.95,170,T17137,
N  70,1546.2,29480614.5,7191,2712700,5A T,2,1.6,,174,T17138,"VV166A,I1539,Arp113"
N  76,1700,29400014,7369,3412700,-2,1.4,1.2,,185,T03613,
N  78B,1753.5,332014.5,5481,2612700,10B,1.2,1,,194,T02096,"MK547,KDG6B"
I1543,1818,21360014.2,5565,2612700,2,0.8,0.7,,198,T02114,
00185+2657,1830,26570014.5,9221,2512700,-2B,1.4,0.8,,202,T05953,
N  80,1834,22044813.7,5698,2212700,-3A,2.2,2,13.1,203,T00806,*
N  83,1846,22092414.3,6304,2812700,-5,1.3,1.2,13.7,206,T00807,
N  91,1912,22080014.5,5177,3412700,5X P,2.4,0.9,,208,T00808,
N  95,1942,10130013.4,5380,510620,5X T,1.8,1.3,13.25,214,,4891 48(00)
N  97,1954,29280013.5,4730,2712700,-7,1.5,1.3,,216,S03614,
00206+2710,2036,27100014.5,3883,3512700,5P,0.7,0.5,,221,T03574,
N  99,2124,15300014,5310,510620,6P,1.5,1.5,,230,T17032,
00224+3105,2224,31050014.4,6848,3312700,6,2,0.5,,238,T03631,
N 105,2242,12360014.1,5133,3012700,2A,0.9,0.7,13.9,241,T16846,
00228+1956,2252.6,19573914.3,4300,3312700,5B,2,1.7,,242,T02229,
N 108,2318,28560013.3,4737,2512700,-2B,2.3,2,,246,T03615,
N 112,2412,31250014.5,6710,5212700,4,1.3,0.6,,255,T03575,
00245+1118,2430,11180014,2131,510620,5A,3.1,0.7,,260,T00874,KDG10B
N 124,2518,-2050013.8,4044,3112700,5A,1.6,0.9,,271,T00841,
00257+3032,2536.6,30313314.3,6276,2010622,7B,1.8,0.5,,279,,
N 125,2618,2330014.2,5354,2412700,0A,1.6,1.5,13.2,286,T07339,
N 128,2642,2350013.3,4227,21H2700,-2  P,3,0.9,12.6,292,T07327,
N 132,2736,1490013.8,5361,1410620,4X,1.9,1.7,,301,T00776,
N 137,2822.8,9555814.2,5276,3012700,-2,1.6,1.6,,309,T02101,
N 140,2842,30305114.2,6433,2010622,5,1.5,1.3,,311,T03646,
00289+0556,2854,5560014.3,2055,3212748,7,1.4,0.8,,313,T01989,
00314+0659S,3124,6590014.5,5449,29H2700,-2,1.6,1.2,,00335S,T01988,SE
I  34,3300,8510013.9,5299,2512700,1B,3.2,1.2,,351,T00875,
00333+3136,3315.9,31354614.5,6356,2010622,4B,1.2,0.35,,355,,
N 160,3324,23410013.7,5327,2912700,-1A P,3,1.6,13.4,356,T03577,
00341+2117,3406,21170014.5,8925,3312700,6,1.2,0.45,,364,T04407,
I1559,3413.8,23423613.7,4555,3112700,-2X P,3.5,1.1,,,T03897,"MK341,KDG13A"
N 169,3413.8,23425413.3,4586,1912700,2A s,3.5,1.1,,365,,"Arp282,MK341,KDG13B"
N 173,3436,1400014.5,4342,2012201,4A T,4,3.5,,369,T17643,
N 180,3522.1,8213314.3,5346,3012700,4B T,2.8,2.3,,380,T19015,
N 182,3536,2270013.5,1 5261,600620,1X T,2.3,1.8,13.4,382,,
N 183,3548,29150013.8,5402,3112700,-7,2.1,1.6,13.49,387,T03632,A71
N 192,3639.7,352113.9,4210,2012748,3B,2.4,1.1,13.46,401,S00917,HCG7A
N 193,3642,3030014.3,4340,2512700,-3X s,1.7,1.6,13.35,408,T03757,
N 194,3643,2454813.9,5187,2412700,-5,1.7,1.7,13,407,T02178,
00368+2522,3648,25220014.5,4614,2912700,-3,1.2,0.9,,411,T03633,
N 198,3654,2310014.1,5262,2712700,5A,1.3,1.3,13.5,414,T02047,
N 200,3700,2370014,5179,2010620,4B s,2,1.2,,420,,
00375+2226,3730,22260014.5,5841,2912700,3A,0.7,0.5,,425,T02116,
00389-0159,3848,-1591814.4,5302,2112700,1A,1.2,1.2,13.8,439,S03961,M-0-2-125
N 214,3848.6,25133013,4534,510620,5X1R,2.2,1.7,12.95,438,,
I  43,3942,29220014.4,4861,101 0,5X P,2.2,2.1,,448,T15915,
N 223,3948,340014.5,5355,2512700,-5  P,1.5,1,,450,T02073,IR044
N 227,4003,-1481813.7,5297,2812700,-5,1.7,1.4,12.9,456,T01974,
N 226,4012.7,32182114.4,4825,2010622,-5  P,1,1,,459,T03634,
N 236,4054,2400014.5,5648,3412700,5A,1.3,1.2,,462,T02230,
N 234,4054,14040013.5,4448,1610611,5A,1.8,1.8,,463,T00889,
N 237,4054.4,-240014,5 4174,1500617,6X3T,2,1.2,13.7,461,T17043,
N 233,4100,30190013.8,5430,2712700,-7,2,1.7,,464,T03635,
00411+3235,4109.4,32344614.5,4771,1010912,3B,1.8,0.45,,465,,MK9008
I  49,4124,1350014.5,4561,910400,5A,1.9,1.7,,468,,
N 245,4332.2,-1594313.1,8 4114,2020105,3A T,1.3,1.3,,476,,MK555
00437+2958,4342,29580014.5,5003,2112700,1A,1.6,0.25,,478,T03914,
00442+3224,4414.2,32240014.1,4859,2010622,3B,2.8,0.8,,484,S19615,KDG17A
N 252,4518,27210013.4,4990,3112700,-2,1.8,1.3,,491,T03636,
N 257,4530,8030013.7,5278,510620,6,2.2,1.6,,493,T00540,
N 260,4554.4,27250814.3,5212,610639,5P,0.9,0.9,,497,,HO123C
00470+2240,4700,22400014.5,7461,3512700,-1,1.6,1.3,,506,T02117,
N 266,4706,32003312.6,4651,2010622,1B,3.5,3.3,,508,T03915,
N 271,4812,-2090013.2,4098,2212700,3B,2.5,2,,519,T00892,
00489+2908,4853.1,29074614.5,10763,3512707,3B,0.9,0.9,,524,,Sy1
00494+2924,4924,29240014.3,5555,2012700,0,1,0.22,,529,T03900,
N 279,4936,-2292114,3878,2312700,-2,1.6,1.4,,532,T03724,MK558
00502+2845,5012,28450014.1,4943,3512700,5P,0.7,0.35,,540,T15916,AK19
00510+1225,5057.8,12252014,18116,4212700,5P,0.6,0.5,,545,T03656,"Sy1,IZw1,MK9009, type fr"
N 295,5224.6,31161513.5,5456,2010622,5B,2.2,0.9,,562,T03781,
N 304,5324,23510014,4991,3112700,-1  P,1.4,0.9,,573,T03648,
N 307,5359.1,-2022614.1,4010,2212700,-2,1.7,0.8,,584,T02065,A119
N 311,5448,30000014.1,5065,1412700,-2,1.5,0.8,,592,S15109,
N 315,5505.8,30045812.5,4956,1712700,-5,3,2.5,11.53,597,M03300,"B2,HO29A"
00551+3113,5506,31120014.4,4995,1812700,0,1,0.35,,598,S03782,
I1607,5618,200014.5,5410,2712700,7,1.1,1.1,,611,T02075,
00563+2335,5618,23350014.5,5058,2712700,-5,1,0.45,,612,T03647,
00570+1504,5700,15040014.2,5517,3212700,2X,1,0.5,,615,T02085,
N 338,5752.3,30235814,4781,2010622,3,1.9,0.7,,624,T03784,
N 351,5930,-2110014.3,4194,2312700,0B,1.4,0.7,,639,T02066,
N 354,10036,22040014.2,4670,2010624,3B P,1,0.6,,645,,"MK353,4878(03)"
I1613,10213.2,1515611,2 -232,100912,10X9s,22,20,9.99,00668 0,0.7,"DDO8,Dsrc=F"
I1620E,10430,13420014.5,11474,26H2700,4X,1.2,0.8,,00681B,T05429,KDG22B
N 379,10430,32151614,5556,4112700,-3,1.5,0.8,13.65,683,T03902,"IVZw38,Arp331"
N 380,10432.3,32130113.9,4414,2512700,-1,1.3,1.1,13.5,682,T03901,"IVZw38,Arp331"
N 384,10436,32020014.3,4287,2312700,-5,1.1,0.8,13.92,686,T03916,"IVZw38,Arp331,3CR31"
